order,week_suggested,silo,num,slug_en,title_en,tag,primary_keyword,status_en,status_pl,pl_slug,action,sequencing_note
1,1,kids,01,01-intro-world-cultures-toddlers,How to Introduce World Cultures to Toddlers and Young Kids at Home,CULTURE,introducing world cultures to kids,published,published,wprowadzanie-dzieci-w-kultury-swiata,DONE (2026-09-11) — przetłumaczono + poprawiono nieaktualną próbkę Argentyna→Afryka,Cluster B hub — 5 innych tematów Kids linkuje tu jako hub
2,2,seniors,19,19-choosing-puzzle-book-aging-parents,Choosing the Right Puzzle Book for Aging Parents: A Thoughtful Guide,GIFT GUIDE,best puzzle books for elderly parents,published,published,jak-wybrac-ksiazke-z-lamiglowkami-dla-rodzica,"DONE (2026-09-11) — napisano EN+PL, hero image od użytkownika (NanoBanana)","HUB klastra Puzzle & Relaxation — 6 innych tematów (#12,13,14,16,17,20) czeka na ten hub; napisać w pierwszej kolejności"
3,3,kids,03,03-fine-motor-skills-coloring-flags,How Coloring Country Flags Builds Fine Motor Skills Before Kindergarten,FINE MOTOR,fine motor skills coloring flags,published,published,kolorowanie-flag-motoryka-mala-przedszkolaka,"DONE (2026-09-14) — opublikowano EN+PL, zweryfikowano na żywo (2026-09-21)","Cluster A (z #06, #07) — brak wspólnego hubu, kolejność wewnętrzna dowolna"
4,4,seniors,15,15-fine-motor-drills-older-adults,Daily Fine Motor Skill Drills to Maintain Hand Dexterity in Older Adults,MOTOR SKILLS,fine motor skills for older adults,stub (draft:true),MISSING,-,NAPISZ + PRZETŁUMACZ,"Cluster Motor & Neuroplasticity — hub #11 już opublikowany (EN+PL), można pisać od razu"
5,5,kids,06,06-flags-early-map-reading,How to Use Color-Coded Flags to Teach Early Map Reading,GEOGRAPHY,teach map reading with flag coloring,published,published,kolorowanie-flag-nauka-czytania-map,"DONE (2026-09-21) — napisano EN+PL, hero image od użytkownika, opublikowano","Cluster A (z #03, #07)"
6,6,seniors,18,18-mirror-drawing-exercises,Mirror Drawing Exercises: A Simple Way to Challenge Hand-Eye Coordination,MOTOR SKILLS,mirror drawing exercises,stub (draft:true),MISSING,-,NAPISZ + PRZETŁUMACZ,Cluster Motor & Neuroplasticity — hub #11 już live
7,7,kids,07,07-flag-colors-symbols-meaning,The Story Behind National Flags: A Kid-Friendly Guide to Colors and Symbols,FLAGS,national flag meanings for kids,stub (draft:true),MISSING,-,NAPISZ + PRZETŁUMACZ,"Cluster A (z #03, #06) — zamyka trio Cluster A"
8,8,seniors,12,12-word-search-vs-sudoku,Word Search Puzzles vs. Sudoku: Which Exercise Best Fits Your Daily Routine?,PUZZLES,word search vs sudoku for seniors,stub (draft:true),MISSING,-,NAPISZ + PRZETŁUMACZ,Cluster Puzzle & Relaxation — wymaga hubu #19 (patrz krok 2)
9,9,kids,05,05-daily-life-kids-around-the-world,What Daily Life Looks Like for Kids Around the World,CULTURE,kids around the world daily life,stub (draft:true),MISSING,-,NAPISZ + PRZETŁUMACZ,Cluster B — hub #01 już live (po kroku 1)
10,10,seniors,17,17-proverbs-memory-recall,"Proverbs, Sayings, and Memory Recall: Fun Ways to Keep the Mind Active",MEMORY,memory recall exercises proverbs,stub (draft:true),MISSING,-,NAPISZ + PRZETŁUMACZ,Cluster Puzzle & Relaxation — wymaga hubu #19
11,11,kids,08,08-world-landmarks-architecture-kids,Interactive Ways to Teach Kids About World Landmarks and Architecture,LANDMARKS,famous landmarks activities for kids,stub (draft:true),MISSING,-,NAPISZ + PRZETŁUMACZ,Cluster B — hub #01 live
